# alpha   theta_analytical   theta_FEM
0.00000000 -0.00000000 -0.00000000
2.04081633 -0.04158322 -0.04158166
4.08163265 -0.16457018 -0.16456393
6.12244898 -0.35462965 -0.35461572
8.16326531 -0.57171762 -0.57169330
10.20408163 -0.76701075 -0.76697366
12.24489796 -0.91709482 -0.91704279
14.28571429 -1.02539793 -1.02532899
16.32653061 -1.10378658 -1.10369898
18.36734694 -1.16231455 -1.16220667
20.40816327 -1.20759487 -1.20746516
22.44897959 -1.24373438 -1.24358137
24.48979592 -1.27330993 -1.27313218
26.53061224 -1.29799413 -1.29779024
28.57142857 -1.31891983 -1.31868844
30.61224490 -1.33688751 -1.33662730
32.65306122 -1.35248321 -1.35219295
34.69387755 -1.36614781 -1.36582631
36.73469388 -1.37821975 -1.37786589
38.77551020 -1.38896310 -1.38857585
40.81632653 -1.39858682 -1.39816522
42.85714286 -1.40725834 -1.40680149
44.89795918 -1.41511336 -1.41462046
46.93877551 -1.42226301 -1.42173334
48.97959184 -1.42879920 -1.42823212
51.02040816 -1.43479856 -1.43419354
53.06122449 -1.44032554 -1.43968211
55.10204082 -1.44543469 -1.44475249
57.14285714 -1.45017249 -1.44945126
59.18367347 -1.45457883 -1.45381838
61.22448980 -1.45868808 -1.45788834
63.26530612 -1.46253004 -1.46169103
65.30612245 -1.46613068 -1.46525251
67.34693878 -1.46951271 -1.46859559
69.38775510 -1.47269611 -1.47174031
71.42857143 -1.47569847 -1.47470439
73.46938776 -1.47853539 -1.47750349
75.51020408 -1.48122073 -1.48015156
77.55102041 -1.48376684 -1.48266102
79.59183673 -1.48618477 -1.48504299
81.63265306 -1.48848443 -1.48730745
83.67346939 -1.49067470 -1.48946336
85.71428571 -1.49276364 -1.49151881
87.75510204 -1.49475850 -1.49348110
89.79591837 -1.49666584 -1.49535685
91.83673469 -1.49849164 -1.49715206
93.87755102 -1.50024132 -1.49887219
95.91836735 -1.50191984 -1.50052221
97.95918367 -1.50353171 -1.50210666
100.00000000 -1.50508107 -1.50362968
