# alpha   wa_analytical   wa_FEM
0.00000000 0.00685352 0.00685377
2.04081633 0.00684686 0.00684711
4.08163265 0.00674944 0.00674970
6.12244898 0.00637307 0.00637331
8.16326531 0.00561907 0.00561929
10.20408163 0.00466296 0.00466315
12.24489796 0.00376325 0.00376341
14.28571429 0.00303550 0.00303564
16.32653061 0.00247782 0.00247795
18.36734694 0.00205332 0.00205343
20.40816327 0.00172652 0.00172663
22.44897959 0.00147083 0.00147092
24.48979592 0.00126742 0.00126752
26.53061224 0.00110314 0.00110323
28.57142857 0.00096863 0.00096872
30.61224490 0.00085717 0.00085725
32.65306122 0.00076380 0.00076388
34.69387755 0.00068483 0.00068491
36.73469388 0.00061746 0.00061754
38.77551020 0.00055953 0.00055961
40.81632653 0.00050936 0.00050944
42.85714286 0.00046563 0.00046571
44.89795918 0.00042729 0.00042737
46.93877551 0.00039349 0.00039357
48.97959184 0.00036353 0.00036361
51.02040816 0.00033687 0.00033695
53.06122449 0.00031303 0.00031311
55.10204082 0.00029163 0.00029171
57.14285714 0.00027235 0.00027243
59.18367347 0.00025491 0.00025500
61.22448980 0.00023910 0.00023918
63.26530612 0.00022471 0.00022480
65.30612245 0.00021158 0.00021167
67.34693878 0.00019957 0.00019966
69.38775510 0.00018855 0.00018864
71.42857143 0.00017842 0.00017851
73.46938776 0.00016908 0.00016917
75.51020408 0.00016045 0.00016055
77.55102041 0.00015247 0.00015256
79.59183673 0.00014507 0.00014516
81.63265306 0.00013819 0.00013829
83.67346939 0.00013179 0.00013189
85.71428571 0.00012583 0.00012592
87.75510204 0.00012026 0.00012036
89.79591837 0.00011505 0.00011515
91.83673469 0.00011017 0.00011027
93.87755102 0.00010560 0.00010570
95.91836735 0.00010130 0.00010140
97.95918367 0.00009726 0.00009736
100.00000000 0.00009346 0.00009356
